method,endpoint_mmd,sliced_w2,straightness_action_S,tortuosity_straightness,path_length,path_energy,coarse_step_error_nfe4_vs_nfe64,endpoint_reference
random_cfm,0.0018990186112325946,0.0719986336816566,5.58014032474396,0.3632010392325544,3.6372243927048533,14.353045776031673,0.9917417764663696,real EB target distribution in standardized PC-20
ot_cfm,0.0011576812469102915,0.059819993519094124,0.44840661317249897,0.032143194483744926,2.5964101498431678,7.510583195536098,0.31195706129074097,real EB target distribution in standardized PC-20
reflow_1,0.0016029363377711991,0.06556566106032308,0.04714210050188569,0.0029952163608406484,2.4795208786887963,6.7969216168780004,0.1240897923707962,real EB target distribution in standardized PC-20
reflow_2,0.0020098630631677494,0.07135596301491899,0.03316035509088794,0.002143525770830538,2.453886715289948,6.622884956942127,0.10330963134765625,real EB target distribution in standardized PC-20
