epsilon,expected_cost_normalized,cost_scale,entropy,effective_support,sinkhorn_converged,sinkhorn_n_iter,row_l1_error,col_l1_error,warning_message,mean_pair_distance_pc20,mean_pair_distance_phate_display_only,cost_space,phate_distance_role
0.01,0.40743014133732114,34.754093170166016,9.499214254923205,13349.233613114626,True,430,3.648882411499965e-16,1.191285468519045e-08,,3.614157199859619,69.12266540527344,standardized PC-20 median-normalized,display diagnostic only
0.02,0.4223241413289568,34.754093170166016,10.49027071376197,35963.89198794554,True,200,6.278885831406678e-16,1.0530121504089256e-08,,3.6930413246154785,68.3747329711914,standardized PC-20 median-normalized,display diagnostic only
0.05,0.49990658804347393,34.754093170166016,12.804322030785245,363786.3525605922,True,70,1.292314779494097e-15,4.120741485774508e-09,,4.052078723907471,69.70387268066406,standardized PC-20 median-normalized,display diagnostic only
0.1,0.6260513949545218,34.754093170166016,14.576653112236245,2140720.713344149,True,30,1.5037884132373946e-15,9.25191923382496e-09,,4.533552169799805,70.14591979980469,standardized PC-20 median-normalized,display diagnostic only
0.5,0.9539802691337119,34.754093170166016,16.31233535877048,12143873.462036448,True,10,1.0586150012148465e-15,5.451368523257116e-15,,5.6275835037231445,68.73509979248047,standardized PC-20 median-normalized,display diagnostic only
