pc_dims,epsilon,expected_cost_raw,entropy,effective_support,row_l1_error,col_l1_error,sinkhorn_converged,sinkhorn_backend,cost_scale,l1_to_pc20_plan
5,0.05,67.78284385671972,8.478101587077632,4808.3130632191205,1.0581813203458523e-16,7.961943943556038e-09,True,pot,115.80339217524721,1.302791410241102
10,0.05,108.13697683340718,8.283147258803067,3956.6273370710683,1.3010426069826053e-16,1.8779059080334393e-09,True,pot,181.76977389154297,0.8138548395078358
20,0.05,157.67506033652597,8.298429582462239,4017.55819330863,1.3791051634015616e-16,1.1743325241050928e-08,True,pot,244.69017957914906,0.0
50,0.05,227.99195590732336,8.517021481681407,4999.141525032213,1.249000902703301e-16,3.858475075037282e-09,True,pot,316.37943125980735,0.5728884429623349
