strategy,steps,final_train_loss_20d,final_val_mse_20d,endpoint_mmd_20d,sliced_w2_20d,sample_nfe,wall_time_sec
uniform,350,6.088966369628906,5.745028018951416,0.015666693582209935,0.626032235607755,30,0.5715359821915627
logit_normal_sigma_0.5,350,4.566753387451172,5.929192860921224,0.015343972176492214,0.9508690626748871,30,0.5345703009516001
logit_normal_sigma_1.0,350,5.239997386932373,5.7134097417195635,0.01347822431898319,0.5055814254555383,30,0.5364775583148003
logit_normal_sigma_2.0,350,5.473126411437988,5.707205931345622,0.014936585925686065,0.5620282308546527,30,0.4756753072142601
beta_2_2,350,4.957688331604004,5.753244717915853,0.014436975230384985,0.6146714191745658,30,0.5140635799616575
beta_0.5_0.5,350,6.018308162689209,5.963332494099935,0.019459769531370068,0.6229962616919297,30,0.5228260383009911
cosine,350,5.338188171386719,5.968983968098958,0.01818704865004981,0.684905560184447,30,0.5033584740012884
