cell_index,endpoint_distance_20d,path_length_20d,straightness_ratio_20d,quantile_group
0,8.493787631517574,9.36658391152901,1.1027570169959025,upper_quantile
1,11.92036667024075,12.514221709713407,1.0498185211831796,middle
2,6.758912706071693,7.300868573358515,1.0801838832450033,middle
3,14.85994145105854,15.351358411730477,1.033069912306884,middle
4,11.739534223486768,12.642168543390683,1.0768884269784789,middle
5,9.24045602996988,9.679973789378446,1.0475645095851398,middle
6,7.100298870659171,7.556913228508234,1.0643091743272874,middle
7,7.966970832486349,8.726302784207768,1.0953099951897833,upper_quantile
8,14.447680660446244,14.907119983403135,1.0318002130414405,middle
9,7.074916804086981,8.004414357961885,1.1313792910381588,upper_quantile
10,15.732261926208032,16.172956274756736,1.0280121415862369,middle
11,13.964446571681655,14.637811447868813,1.048219947187357,middle
12,5.757595270489385,6.918608472960965,1.2016489780763795,upper_quantile
13,19.00819960280795,19.345696819265775,1.017755348928889,lower_quantile
14,8.179072744486874,8.61934342562591,1.0538289235091842,middle
15,19.473070823266667,19.67827590787002,1.0105378903238091,lower_quantile
16,10.374844550369291,10.674947536857013,1.0289260224604562,middle
17,8.249884903072136,9.053158135699253,1.0973678108318807,upper_quantile
18,11.105135261820305,11.59067856938107,1.0437224127498992,middle
19,21.569808590818393,21.836603049041333,1.0123688839008291,lower_quantile
20,7.238322073392985,8.117277780882569,1.12143086458124,upper_quantile
21,7.76748205468127,8.309842859805181,1.0698245327515168,middle
22,15.186116718752595,15.43343684434103,1.0162859360407148,lower_quantile
23,7.170703597777098,8.498728613614373,1.1852014935115935,upper_quantile
24,16.358604371226008,16.831606933242,1.028914603671691,middle
25,12.847718480704284,13.688990889531702,1.0654802959833614,middle
26,12.26146245411232,12.49467408014753,1.019019886649573,lower_quantile
27,17.483150167671734,17.64754813472349,1.0094032234165526,lower_quantile
28,7.679352053060011,8.147519077865443,1.0609643914708768,middle
29,9.372951429923491,10.581401211800314,1.1289294829821483,upper_quantile
