method,train_objective,train_uses_ode,steps,batch_size,rtol,wall_time_sec,mean_sec_per_update,train_nfe_per_update,cumulative_nfe,relative_slowdown_vs_fm,final_val_mse_20d,endpoint_mmd_20d,sliced_w2_20d,sample_nfe
FM,local_velocity_regression_fixed_OT_pairs_20D,False,600,64,,3.3277309220284224,0.005546218203380704,1.0,600,1.0,6.734002908070882,0.013420294603482189,0.5394296815004277,30
CNF ODE rtol=0.001,endpoint_mse_after_adjoint_ode_solve_fixed_OT_pairs_20D,True,600,64,0.001,45.16910805099178,0.07528184675165296,20.0,11784,13.57354579121406,9.072509765625,0.07019066735858837,0.8772740377069272,20
