solver,K,nfe,reference_K,wall_time_sec,mmd_20d_to_reference,endpoint_mmd_20d_to_target_val,sliced_w2_20d_to_target_val
euler,1,1,200,0.0003564369981177151,0.12421893819772536,0.13716808902242725,1.2387364983838827
euler,2,2,200,0.0012067699572071433,0.027547703854044384,0.04191789224180419,0.9085778325840775
euler,5,5,200,0.0026687849895097315,0.004089802041576211,0.019753215570472604,0.7250820839618175
euler,10,10,200,0.005067560006864369,0.0009910942127119536,0.016807654277276617,0.7437759389025731
euler,20,20,200,0.005716760002542287,0.0002272759514194457,0.015914397893212095,0.6972313894399373
euler,50,50,200,0.021104190964251757,2.570099126950401e-05,0.015534492607969927,0.7007363814938757
euler,100,100,200,0.025741018995177,2.8751133214037494e-06,0.015431610152948883,0.7329416128765204
euler,200,200,200,0.052353228034917265,0.0,0.01538441183223994,0.6528087809445947
